id,date,layer,new_cases,total_cases,active_cases_7,active_cases_14,new_cases_mean_7,new_cases_mean_14,max_new_cases,max_new_cases_date,population,active_cases_14_by_100k,active_cases_7_by_100k,new_cases_by_100k,total_cases_by_100k
04,2021-08-05,cnig_ccaa,517,88750,4552,10116,650.2857142857143,722.5714285714286,1100,2021-07-20,,,,,
05,2021-08-05,cnig_ccaa,421,85242,4180,9677,597.1428571428571,691.2142857142857,956,2021-07-27,,,,,
13,2021-08-05,cnig_ccaa,2181,841272,18176,43798,2596.5714285714284,3128.4285714285716,7008,2021-01-19,,,,,
16,2021-08-05,cnig_ccaa,559,240844,5873,13608,839.0,972.0,1653,2021-07-19,,,,,
08,2021-08-05,cnig_ccaa,648,218940,5004,11193,714.8571428571429,799.5,2632,2021-01-15,,,,,
17,2021-08-05,cnig_ccaa,89,37190,882,2144,126.0,153.14285714285714,350,2021-01-21,,,,,
03,2021-08-05,cnig_ccaa,113,68313,1360,3396,194.28571428571428,242.57142857142858,801,2020-11-10,,,,,
10,2021-08-04,cnig_ccaa,1304,479792,11131,26969,1590.142857142857,1926.357142857143,8635,2021-01-15,,,,,
06,2021-08-04,cnig_ccaa,200,41121,1399,3207,199.85714285714286,229.07142857142858,342,2021-07-19,,,,,
09,2021-08-04,cnig_ccaa,2200,856221,19270,51461,2752.8571428571427,3675.785714285714,10126,2021-07-12,,,,,
02,2021-08-04,cnig_ccaa,496,150838,3568,8387,509.7142857142857,599.0714285714286,1137,2020-10-26,,,,,
12,2021-08-04,cnig_ccaa,935,167723,7091,16048,1013.0,1146.2857142857142,1863,2021-01-18,,,,,
19,2021-08-04,cnig_ccaa,22,9979,290,413,41.42857142857143,29.5,145,2021-08-02,,,,,
15,2021-08-04,cnig_ccaa,229,77972,1974,4583,282.0,327.35714285714283,742,2020-10-19,,,,,
07,2021-08-04,cnig_ccaa,659,283167,5538,13348,791.1428571428571,953.4285714285714,2956,2021-01-18,,,,,
11,2021-08-04,cnig_ccaa,377,91476,2712,6092,387.42857142857144,435.14285714285717,1302,2021-01-12,,,,,
18,2021-08-04,cnig_ccaa,34,6474,142,275,20.285714285714285,19.642857142857142,75,2020-10-28,,,,,
14,2021-08-04,cnig_ccaa,406,130167,3217,6974,459.57142857142856,498.14285714285717,2115,2021-01-12,,,,,
01,2021-08-04,cnig_ccaa,3388,738584,24847,51781,3549.5714285714284,3698.6428571428573,8475,2021-01-20,,,,,
04,2021-08-04,cnig_ccaa,661,88233,4613,10564,659.0,754.5714285714286,1100,2021-07-20,,,,,
05,2021-08-04,cnig_ccaa,568,84821,4483,10020,640.4285714285714,715.7142857142857,956,2021-07-27,,,,,
13,2021-08-04,cnig_ccaa,2378,839091,19350,45448,2764.285714285714,3246.285714285714,7008,2021-01-19,,,,,
16,2021-08-04,cnig_ccaa,752,240285,6057,13941,865.2857142857143,995.7857142857143,1653,2021-07-19,,,,,
08,2021-08-04,cnig_ccaa,717,218292,5292,11478,756.0,819.8571428571429,2632,2021-01-15,,,,,
17,2021-08-04,cnig_ccaa,122,37101,942,2262,134.57142857142858,161.57142857142858,350,2021-01-21,,,,,
03,2021-08-04,cnig_ccaa,168,68200,1419,3547,202.71428571428572,253.35714285714286,801,2020-11-10,,,,,
10,2021-08-03,cnig_ccaa,1610,478488,11971,28420,1710.142857142857,2030.0,8635,2021-01-15,,,,,
06,2021-08-03,cnig_ccaa,219,40921,1441,3312,205.85714285714286,236.57142857142858,342,2021-07-19,,,,,
09,2021-08-03,cnig_ccaa,2618,854021,21021,56104,3003.0,4007.4285714285716,10126,2021-07-12,,,,,
02,2021-08-03,cnig_ccaa,497,150342,3754,8722,536.2857142857143,623.0,1137,2020-10-26,,,,,
12,2021-08-03,cnig_ccaa,993,166788,7302,16706,1043.142857142857,1193.2857142857142,1863,2021-01-18,,,,,
19,2021-08-03,cnig_ccaa,26,9957,287,406,41.0,29.0,145,2021-08-02,,,,,
15,2021-08-03,cnig_ccaa,264,77743,2153,4773,307.57142857142856,340.92857142857144,742,2020-10-19,,,,,
07,2021-08-03,cnig_ccaa,649,282508,6002,14071,857.4285714285714,1005.0714285714286,2956,2021-01-18,,,,,
11,2021-08-03,cnig_ccaa,422,91099,2759,6155,394.14285714285717,439.64285714285717,1302,2021-01-12,,,,,
18,2021-08-03,cnig_ccaa,23,6440,133,257,19.0,18.357142857142858,75,2020-10-28,,,,,
14,2021-08-03,cnig_ccaa,492,129761,3394,7200,484.85714285714283,514.2857142857143,2115,2021-01-12,,,,,
01,2021-08-03,cnig_ccaa,4029,735196,25828,52485,3689.714285714286,3748.9285714285716,8475,2021-01-20,,,,,
04,2021-08-03,cnig_ccaa,858,87572,4619,10888,659.8571428571429,777.7142857142857,1100,2021-07-20,,,,,
05,2021-08-03,cnig_ccaa,670,84253,4697,10358,671.0,739.8571428571429,956,2021-07-27,,,,,
13,2021-08-03,cnig_ccaa,2799,836713,20570,47236,2938.5714285714284,3374.0,7008,2021-01-19,,,,,
16,2021-08-03,cnig_ccaa,814,239533,6188,14374,884.0,1026.7142857142858,1653,2021-07-19,,,,,
08,2021-08-03,cnig_ccaa,803,217575,5522,11717,788.8571428571429,836.9285714285714,2632,2021-01-15,,,,,
17,2021-08-03,cnig_ccaa,169,36979,1025,2337,146.42857142857142,166.92857142857142,350,2021-01-21,,,,,
03,2021-08-03,cnig_ccaa,288,68032,1492,3733,213.14285714285714,266.64285714285717,801,2020-11-10,,,,,
10,2021-08-02,cnig_ccaa,1783,476878,12871,29744,1838.7142857142858,2124.5714285714284,8635,2021-01-15,,,,,
06,2021-08-02,cnig_ccaa,206,40702,1492,3396,213.14285714285714,242.57142857142858,342,2021-07-19,,,,,
09,2021-08-02,cnig_ccaa,3427,851403,23285,60960,3326.4285714285716,4354.285714285715,10126,2021-07-12,,,,,
02,2021-08-02,cnig_ccaa,445,149845,4044,9122,577.7142857142857,651.5714285714286,1137,2020-10-26,,,,,
12,2021-08-02,cnig_ccaa,992,165795,7624,17394,1089.142857142857,1242.4285714285713,1863,2021-01-18,,,,,
19,2021-08-02,cnig_ccaa,145,9931,287,395,41.0,28.214285714285715,145,2021-08-02,,,,,
15,2021-08-02,cnig_ccaa,270,77479,2287,4998,326.7142857142857,357.0,742,2020-10-19,,,,,
07,2021-08-02,cnig_ccaa,861,281859,6549,14950,935.5714285714286,1067.857142857143,2956,2021-01-18,,,,,
11,2021-08-02,cnig_ccaa,452,90677,2894,6286,413.42857142857144,449.0,1302,2021-01-12,,,,,
18,2021-08-02,cnig_ccaa,22,6417,129,257,18.428571428571427,18.357142857142858,75,2020-10-28,,,,,
14,2021-08-02,cnig_ccaa,475,129269,3470,7335,495.7142857142857,523.9285714285714,2115,2021-01-12,,,,,
01,2021-08-02,cnig_ccaa,3351,731167,26494,54078,3784.8571428571427,3862.714285714286,8475,2021-01-20,,,,,
04,2021-08-02,cnig_ccaa,1032,86714,4631,11130,661.5714285714286,795.0,1100,2021-07-20,,,,,
05,2021-08-02,cnig_ccaa,639,83583,4983,10617,711.8571428571429,758.3571428571429,956,2021-07-27,,,,,
13,2021-08-02,cnig_ccaa,2838,833914,22434,49376,3204.8571428571427,3526.8571428571427,7008,2021-01-19,,,,,
16,2021-08-02,cnig_ccaa,952,238719,6538,15095,934.0,1078.2142857142858,1653,2021-07-19,,,,,
08,2021-08-02,cnig_ccaa,774,216772,5784,11806,826.2857142857143,843.2857142857143,2632,2021-01-15,,,,,
17,2021-08-02,cnig_ccaa,145,36810,1067,2391,152.42857142857142,170.78571428571428,350,2021-01-21,,,,,
03,2021-08-02,cnig_ccaa,180,67744,1501,4044,214.42857142857142,288.85714285714283,801,2020-11-10,,,,,
10,2021-08-01,cnig_ccaa,1177,475095,13713,30932,1959.0,2209.4285714285716,8635,2021-01-15,,,,,
06,2021-08-01,cnig_ccaa,184,40496,1505,3532,215.0,252.28571428571428,342,2021-07-19,,,,,
09,2021-08-01,cnig_ccaa,2083,847976,25272,66692,3610.285714285714,4763.714285714285,10126,2021-07-12,,,,,
02,2021-08-01,cnig_ccaa,409,149400,4264,9594,609.1428571428571,685.2857142857143,1137,2020-10-26,,,,,
12,2021-08-01,cnig_ccaa,932,164803,7964,18147,1137.7142857142858,1296.2142857142858,1863,2021-01-18,,,,,
19,2021-08-01,cnig_ccaa,18,9786,155,278,22.142857142857142,19.857142857142858,99,2020-10-21,,,,,
15,2021-08-01,cnig_ccaa,281,77209,2361,5171,337.2857142857143,369.35714285714283,742,2020-10-19,,,,,
07,2021-08-01,cnig_ccaa,684,280998,6961,15680,994.4285714285714,1120.0,2956,2021-01-18,,,,,
11,2021-08-01,cnig_ccaa,349,90225,3013,6396,430.42857142857144,456.85714285714283,1302,2021-01-12,,,,,
18,2021-08-01,cnig_ccaa,18,6395,117,253,16.714285714285715,18.071428571428573,75,2020-10-28,,,,,
14,2021-08-01,cnig_ccaa,423,128794,3565,7481,509.2857142857143,534.3571428571429,2115,2021-01-12,,,,,
01,2021-08-01,cnig_ccaa,2230,727816,26958,54878,3851.1428571428573,3919.8571428571427,8475,2021-01-20,,,,,
04,2021-08-01,cnig_ccaa,829,85682,4503,11191,643.2857142857143,799.3571428571429,1100,2021-07-20,,,,,
05,2021-08-01,cnig_ccaa,652,82944,5164,10932,737.7142857142857,780.8571428571429,956,2021-07-27,,,,,
13,2021-08-01,cnig_ccaa,1769,831076,23771,51039,3395.8571428571427,3645.6428571428573,7008,2021-01-19,,,,,
16,2021-08-01,cnig_ccaa,991,237767,6860,15796,980.0,1128.2857142857142,1653,2021-07-19,,,,,
08,2021-08-01,cnig_ccaa,520,215998,5991,11830,855.8571428571429,845.0,2632,2021-01-15,,,,,
17,2021-08-01,cnig_ccaa,127,36665,1113,2463,159.0,175.92857142857142,350,2021-01-21,,,,,
